,WORD,TEXTID,TEXT,LINE,LINEPOS,SCREENPOS,LETTERLINEPOS,OLEN,WLEN,PUNCT,OMARKS,EMARKS,WNUM,TXFR,LINE_START,LINE_END
0,Are,1,1,1,1,1,0,3,3,0,0,0,1,351,True,False
1,tourists,1,1,1,2,2,4,8,8,0,0,0,2,3,False,False
2,enticed,1,1,1,3,3,13,7,7,0,0,0,3,1,False,False
3,by,1,1,1,4,4,21,2,2,0,0,0,4,252,False,False
4,these,1,1,1,5,5,24,5,5,0,0,0,5,73,False,False
5,attractions,1,1,1,6,6,30,11,11,0,0,0,6,2,False,False
6,threatening,1,1,1,7,7,42,11,11,0,0,0,7,3,False,False
7,their,1,1,1,8,8,54,5,5,0,0,0,8,225,False,False
8,very,1,1,1,9,9,60,4,4,0,0,0,9,56,False,False
9,existence?,1,1,1,10,10,65,10,9,5,0,1,10,4,False,True
10,The,1,1,2,1,11,0,3,3,0,0,0,11,3511,True,False
11,two,1,1,2,2,12,4,3,3,0,0,0,12,43,False,False
12,young,1,1,2,3,13,8,5,5,0,0,0,13,43,False,False
13,sea-lions,1,1,2,4,14,14,9,9,0,0,0,14,-99,False,False
14,took,1,1,2,5,15,24,4,4,0,0,0,15,17,False,False
15,not,1,1,2,6,16,29,3,3,0,0,0,16,277,False,False
16,the,1,1,2,7,17,33,3,3,0,0,0,17,3511,False,False
17,slightest,1,1,2,8,18,37,9,9,0,0,0,18,3,False,False
18,interest,1,1,2,9,19,47,8,8,0,0,0,19,17,False,False
19,in,1,1,2,10,20,56,2,2,0,0,0,20,1091,False,False
20,our,1,1,2,11,21,59,3,3,0,0,0,21,84,False,False
21,arrival.,1,1,2,12,22,63,8,7,1,0,1,22,2,False,False
22,They,1,1,2,13,23,72,4,4,0,0,0,23,258,False,True
23,were,1,1,3,1,24,0,4,4,0,0,0,24,106,True,False
24,playing,1,1,3,2,25,5,7,7,0,0,0,25,6,False,False
25,on,1,1,3,3,26,13,2,2,0,0,0,26,417,False,False
26,the,1,1,3,4,27,16,3,3,0,0,0,27,3511,False,False
27,"jetty,",1,1,3,5,28,20,6,5,2,0,1,28,1,False,False
28,rolling,1,1,3,6,29,27,7,7,0,0,0,29,1,False,False
29,over,1,1,3,7,30,35,4,4,0,0,0,30,76,False,False
30,and,1,1,3,8,31,40,3,3,0,0,0,31,1283,False,False
31,tumbling,1,1,3,9,32,44,8,8,0,0,0,32,1,False,False
32,into,1,1,3,10,33,53,4,4,0,0,0,33,82,False,False
33,the,1,1,3,11,34,58,3,3,0,0,0,34,3511,False,False
34,water,1,1,3,12,35,62,5,5,0,0,0,35,6,False,False
35,"together,",1,1,3,13,36,68,9,8,2,0,1,36,5,False,True
36,entirely,1,1,4,1,37,0,8,8,0,0,0,37,9,True,False
37,ignoring,1,1,4,2,38,9,8,8,0,0,0,38,1,False,False
38,the,1,1,4,3,39,18,3,3,0,0,0,39,3511,False,False
39,human,1,1,4,4,40,22,5,5,0,0,0,40,25,False,False
40,beings,1,1,4,5,41,28,6,6,0,0,0,41,4,False,False
41,edging,1,1,4,6,42,35,6,6,0,0,0,42,1,False,False
42,awkwardly,1,1,4,7,43,42,9,9,0,0,0,43,1,False,False
43,round,1,1,4,8,44,52,5,5,0,0,0,44,11,False,False
